,id,school,conference,division,color,logos,latitude_school,longitude_school
0,2005,Air Force,Mountain West,Mountain,#004a7b,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,38.9969701,-104.8436165
1,2006,Akron,Mid-American,East,#00285e,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,41.0725534,-81.5083408
2,333,Alabama,SEC,West,#690014,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,33.2082752,-87.5503836
3,2026,Appalachian State,Sun Belt,East,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,36.2114267,-81.6854278
4,12,Arizona,Pac-12,,#002449,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,32.2288054,-110.9488677
5,9,Arizona State,Pac-12,,#942139,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,33.4264471,-111.9325005
6,8,Arkansas,SEC,West,#9c1831,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,36.0680662,-94.1789534
7,2032,Arkansas State,Sun Belt,West,#e81018,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,35.8488977,-90.6677436
8,349,Army,FBS Independents,,#ce9c00,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,41.3874924,-73.9640891
9,2,Auburn,SEC,West,#03244d,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png,32.6025532,-85.4897479
10,2050,Ball State,Mid-American,West,#DA0000,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,40.2159422,-85.4161148
11,239,Baylor,Big 12,,#004834,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,31.5582015,-97.1156702
12,68,Boise State,Mountain West,Mountain,#09347A,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png,43.6028839,-116.1958882
13,103,Boston College,ACC,Atlantic,#88001a,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png,42.335104,-71.1664413
14,189,Bowling Green,Mid-American,East,#FE5000,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png,41.3780114,-83.6225
15,2084,Buffalo,Mid-American,East,#041A9B,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,42.9991334,-78.7775113
16,252,BYU,Big 12,,#001E4C,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png,40.2575347,-111.6545247
17,25,California,Pac-12,,#031522,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png,37.8710434,-122.2507729
18,2117,Central Michigan,Mid-American,West,#6a0032,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,43.5777313,-84.7709904
19,2429,Charlotte,American Athletic,,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,35.3105033,-80.7401194
20,2132,Cincinnati,Big 12,,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,39.1312495,-84.5161913
21,228,Clemson,ACC,Atlantic,#F66733,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png,34.6787737,-82.8432428
22,324,Coastal Carolina,Sun Belt,East,#007073,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png,33.7928506,-79.0166946
23,38,Colorado,Pac-12,,#d1c57e,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png,40.0094746,-105.266905
24,36,Colorado State,Mountain West,Mountain,#004537,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png,40.570015,-105.088435
25,41,Connecticut,FBS Independents,,#001d40,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png,41.7595675,-72.6187728
26,150,Duke,ACC,Coastal,#001A57,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png,35.9953688,-78.9417564
27,151,East Carolina,American Athletic,,#4b1869,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png,35.5968486,-77.364564
28,2199,Eastern Michigan,Mid-American,West,#00331b,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,42.256126,-83.647285
29,57,Florida,SEC,East,#0021A5,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png,29.6499357,-82.3485788
30,2226,Florida Atlantic,American Athletic,,#004B85,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,26.3763763,-80.1015759
31,2229,Florida International,Conference USA,,#001538,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,25.7525014,-80.3778912
32,52,Florida State,ACC,Atlantic,#782F40,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png,30.4381692,-84.3044032
33,278,Fresno State,Mountain West,West,#c41230,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png,36.8143527,-119.7580092
34,61,Georgia,SEC,East,#CC0000,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,33.9498197,-83.3733813
35,290,Georgia Southern,Sun Belt,East,#003775,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png,32.4122471,-81.7849296
36,2247,Georgia State,Sun Belt,East,#1e539a,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,33.735267,-84.389949
37,59,Georgia Tech,ACC,Coastal,#00223e,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,33.7724449,-84.3928054
38,62,Hawai'i,Mountain West,West,#003420,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png,21.294294,-157.819338
39,248,Houston,Big 12,,#C90822,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png,29.7219885,-95.3491623
40,356,Illinois,Big Ten,West,#13294B,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,40.0993268,-88.2359569
41,84,Indiana,Big Ten,East,#7D110C,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png,39.1808959,-86.5256217
42,2294,Iowa,Big Ten,West,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,41.6586045,-91.5510829
43,66,Iowa State,Big 12,,#660015,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png,42.0139977,-93.6357716
44,55,Jacksonville State,Conference USA,,#b50500,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png,33.8201052,-85.76647
45,256,James Madison,Sun Belt,East,#450084,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png,38.4352919,-78.8729349
46,2305,Kansas,Big 12,,#0022B4,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,38.9629418,-95.2463686
47,2306,Kansas State,Big 12,,#633194,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,39.2020096,-96.5938395
48,2309,Kent State,Mid-American,East,#002445,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,41.1390935,-81.31346
49,96,Kentucky,SEC,East,#005DAA,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png,38.0220905,-84.5053408
50,2335,Liberty,Conference USA,,#071740,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,37.3544305,-79.1750239
51,309,Louisiana,Sun Belt,West,#ce2842,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png,30.2158434,-92.0417371
52,2433,Louisiana Monroe,Sun Belt,West,#231F20,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,32.5308089,-92.0660602
53,2348,Louisiana Tech,Conference USA,,#002d65,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,32.5321487,-92.6560019
54,97,Louisville,ACC,Atlantic,#ad000a,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,38.2057621,-85.7588141
55,99,LSU,SEC,West,#fdd023,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png,30.412035,-91.1838163
56,276,Marshall,Sun Belt,East,#00ae42,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png,38.4247042,-82.4214412
57,120,Maryland,Big Ten,East,#D5002B,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,38.9903332,-76.9473792
58,235,Memphis,American Athletic,,#003087,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,35.1209429,-89.977147
59,2390,Miami,ACC,Coastal,#004325,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,25.9579665,-80.2388604
60,193,Miami (OH),Mid-American,East,#a4000c,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,39.5197009,-84.7330255
61,130,Michigan,Big Ten,East,#00274c,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,42.2658365,-83.7486956
62,127,Michigan State,Big Ten,East,#18453B,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,42.7281474,-84.4848526
63,2393,Middle Tennessee,Conference USA,,#0079C2,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,35.8511463,-86.3681649
64,135,Minnesota,Big Ten,West,#7A0019,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,44.976525,-93.2245462
65,344,Mississippi State,SEC,West,#762123,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,33.4563403,-88.7933652
66,142,Missouri,SEC,East,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,38.9358491,-92.3332009
67,2426,Navy,American Athletic,,#131630,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,38.9846985,-76.5076335
68,152,NC State,ACC,Atlantic,#EF1216,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,35.8008001,-78.7195655
69,158,Nebraska,Big Ten,West,#F20017,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,40.820682,-96.705594
70,2440,Nevada,Mountain West,West,#153E5F,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,39.5469459,-119.8175435
71,167,New Mexico,Mountain West,Mountain,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,35.0669479,-106.6283225
